GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.2297', 'grad_norm': '80.8', 'learning_rate': '1.978e-05', 'epoch': '1.125'}
{'loss': '0.2014', 'grad_norm': '21.39', 'learning_rate': '1.977e-05', 'epoch': '1.131'}
{'loss': '0.2467', 'grad_norm': '22.22', 'learning_rate': '1.977e-05', 'epoch': '1.137'}
{'loss': '0.2184', 'grad_norm': '30.84', 'learning_rate': '1.977e-05', 'epoch': '1.144'}
{'loss': '0.2292', 'grad_norm': '59.47', 'learning_rate': '1.977e-05', 'epoch': '1.15'}
{'loss': '0.241', 'grad_norm': '23.96', 'learning_rate': '1.977e-05', 'epoch': '1.156'}
{'loss': '0.2593', 'grad_norm': '22.63', 'learning_rate': '1.977e-05', 'epoch': '1.162'}
{'loss': '0.1841', 'grad_norm': '17.09', 'learning_rate': '1.977e-05', 'epoch': '1.168'}
{'loss': '0.178', 'grad_norm': '11.49', 'learning_rate': '1.977e-05', 'epoch': '1.174'}
{'loss': '0.2354', 'grad_norm': '54.27', 'learning_rate': '1.976e-05', 'epoch': '1.18'}
{'loss': '0.1711', 'grad_norm': '13.66', 'learning_rate': '1.976e-05', 'epoch': '1.186'}
{'loss': '0.1649', 'grad_norm': '16.21', 'learning_rate': '1.976e-05', 'epoch': '1.192'}
{'loss': '0.2188', 'grad_norm': '74.67', 'learning_rate': '1.976e-05', 'epoch': '1.198'}
{'loss': '0.1957', 'grad_norm': '32.64', 'learning_rate': '1.976e-05', 'epoch': '1.204'}
{'loss': '0.1957', 'grad_norm': '22.33', 'learning_rate': '1.976e-05', 'epoch': '1.21'}
{'loss': '0.1543', 'grad_norm': '43.23', 'learning_rate': '1.976e-05', 'epoch': '1.217'}
{'loss': '0.2029', 'grad_norm': '23.84', 'learning_rate': '1.976e-05', 'epoch': '1.223'}
{'loss': '0.2512', 'grad_norm': '13.59', 'learning_rate': '1.975e-05', 'epoch': '1.229'}
{'loss': '0.1463', 'grad_norm': '50.42', 'learning_rate': '1.975e-05', 'epoch': '1.235'}
{'loss': '0.1795', 'grad_norm': '27.3', 'learning_rate': '1.975e-05', 'epoch': '1.241'}
{'loss': '0.1585', 'grad_norm': '11.7', 'learning_rate': '1.975e-05', 'epoch': '1.247'}
{'loss': '0.1959', 'grad_norm': '39.51', 'learning_rate': '1.975e-05', 'epoch': '1.253'}
{'loss': '0.205', 'grad_norm': '105.7', 'learning_rate': '1.975e-05', 'epoch': '1.259'}
{'loss': '0.1999', 'grad_norm': '22.3', 'learning_rate': '1.975e-05', 'epoch': '1.265'}
{'loss': '0.181', 'grad_norm': '44.5', 'learning_rate': '1.975e-05', 'epoch': '1.271'}
{'loss': '0.2627', 'grad_norm': '23.71', 'learning_rate': '1.974e-05', 'epoch': '1.277'}
{'loss': '0.1623', 'grad_norm': '21.19', 'learning_rate': '1.974e-05', 'epoch': '1.283'}
{'loss': '0.2486', 'grad_norm': '38.62', 'learning_rate': '1.974e-05', 'epoch': '1.29'}
{'loss': '0.1922', 'grad_norm': '7.151', 'learning_rate': '1.974e-05', 'epoch': '1.296'}
{'loss': '0.1796', 'grad_norm': '20.34', 'learning_rate': '1.974e-05', 'epoch': '1.302'}
{'loss': '0.2117', 'grad_norm': '26.96', 'learning_rate': '1.974e-05', 'epoch': '1.308'}
{'loss': '0.1986', 'grad_norm': '9.481', 'learning_rate': '1.974e-05', 'epoch': '1.314'}
{'loss': '0.2021', 'grad_norm': '41.82', 'learning_rate': '1.974e-05', 'epoch': '1.32'}
{'loss': '0.2383', 'grad_norm': '100', 'learning_rate': '1.973e-05', 'epoch': '1.326'}
{'loss': '0.1667', 'grad_norm': '22.33', 'learning_rate': '1.973e-05', 'epoch': '1.332'}
{'loss': '0.198', 'grad_norm': '34.99', 'learning_rate': '1.973e-05', 'epoch': '1.338'}
{'loss': '0.1989', 'grad_norm': '28.42', 'learning_rate': '1.973e-05', 'epoch': '1.344'}
{'loss': '0.2431', 'grad_norm': '19.03', 'learning_rate': '1.973e-05', 'epoch': '1.35'}
{'loss': '0.2173', 'grad_norm': '21.34', 'learning_rate': '1.973e-05', 'epoch': '1.356'}
{'loss': '0.1653', 'grad_norm': '21.2', 'learning_rate': '1.973e-05', 'epoch': '1.363'}
{'loss': '0.2127', 'grad_norm': '61.71', 'learning_rate': '1.973e-05', 'epoch': '1.369'}
{'loss': '0.1504', 'grad_norm': '7.61', 'learning_rate': '1.973e-05', 'epoch': '1.375'}
{'loss': '0.197', 'grad_norm': '250.3', 'learning_rate': '1.972e-05', 'epoch': '1.381'}
{'loss': '0.2012', 'grad_norm': '12.79', 'learning_rate': '1.972e-05', 'epoch': '1.387'}
{'loss': '0.2512', 'grad_norm': '7.455', 'learning_rate': '1.972e-05', 'epoch': '1.393'}
{'loss': '0.1627', 'grad_norm': '86.52', 'learning_rate': '1.972e-05', 'epoch': '1.399'}
{'loss': '0.1619', 'grad_norm': '127', 'learning_rate': '1.972e-05', 'epoch': '1.405'}
{'loss': '0.1953', 'grad_norm': '16.94', 'learning_rate': '1.972e-05', 'epoch': '1.411'}
{'loss': '0.2135', 'grad_norm': '22.55', 'learning_rate': '1.972e-05', 'epoch': '1.417'}
{'loss': '0.1329', 'grad_norm': '12.66', 'learning_rate': '1.972e-05', 'epoch': '1.423'}
{'loss': '0.1706', 'grad_norm': '84.21', 'learning_rate': '1.971e-05', 'epoch': '1.429'}
{'loss': '0.1236', 'grad_norm': '11.01', 'learning_rate': '1.971e-05', 'epoch': '1.436'}
