GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-29585563-232c-f53f-831f-ba58a4316572)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.01774', 'grad_norm': '0.7013', 'learning_rate': '1.98e-05', 'epoch': '1.016'}
{'loss': '0.001937', 'grad_norm': '0.008774', 'learning_rate': '1.98e-05', 'epoch': '1.022'}
{'loss': '0.004538', 'grad_norm': '0.007815', 'learning_rate': '1.979e-05', 'epoch': '1.028'}
{'loss': '0.0002213', 'grad_norm': '0.006223', 'learning_rate': '1.979e-05', 'epoch': '1.034'}
{'loss': '0.02861', 'grad_norm': '0.004015', 'learning_rate': '1.979e-05', 'epoch': '1.04'}
{'loss': '0.000791', 'grad_norm': '0.00493', 'learning_rate': '1.979e-05', 'epoch': '1.046'}
{'loss': '0.02295', 'grad_norm': '7.797', 'learning_rate': '1.979e-05', 'epoch': '1.052'}
{'loss': '0.02927', 'grad_norm': '0.01209', 'learning_rate': '1.979e-05', 'epoch': '1.058'}
{'loss': '0.007311', 'grad_norm': '0.009256', 'learning_rate': '1.979e-05', 'epoch': '1.064'}
{'loss': '0.006416', 'grad_norm': '0.6188', 'learning_rate': '1.979e-05', 'epoch': '1.071'}
{'loss': '0.01865', 'grad_norm': '0.9989', 'learning_rate': '1.978e-05', 'epoch': '1.077'}
{'loss': '0.007419', 'grad_norm': '0.006224', 'learning_rate': '1.978e-05', 'epoch': '1.083'}
{'loss': '0.04048', 'grad_norm': '0.00737', 'learning_rate': '1.978e-05', 'epoch': '1.089'}
{'loss': '0.03365', 'grad_norm': '0.009866', 'learning_rate': '1.978e-05', 'epoch': '1.095'}
{'loss': '0.02633', 'grad_norm': '0.009', 'learning_rate': '1.978e-05', 'epoch': '1.101'}
{'loss': '0.008004', 'grad_norm': '0.06256', 'learning_rate': '1.978e-05', 'epoch': '1.107'}
{'loss': '0.006811', 'grad_norm': '0.005937', 'learning_rate': '1.978e-05', 'epoch': '1.113'}
{'loss': '0.007253', 'grad_norm': '0.08689', 'learning_rate': '1.978e-05', 'epoch': '1.119'}
{'loss': '0.02164', 'grad_norm': '0.9418', 'learning_rate': '1.978e-05', 'epoch': '1.125'}
{'loss': '0.007091', 'grad_norm': '0.03974', 'learning_rate': '1.977e-05', 'epoch': '1.131'}
{'loss': '0.01714', 'grad_norm': '0.02009', 'learning_rate': '1.977e-05', 'epoch': '1.137'}
{'loss': '0.02832', 'grad_norm': '0.01762', 'learning_rate': '1.977e-05', 'epoch': '1.144'}
{'loss': '0.003627', 'grad_norm': '0.03594', 'learning_rate': '1.977e-05', 'epoch': '1.15'}
{'loss': '0.013', 'grad_norm': '0.0186', 'learning_rate': '1.977e-05', 'epoch': '1.156'}
{'loss': '0.006425', 'grad_norm': '0.006839', 'learning_rate': '1.977e-05', 'epoch': '1.162'}
{'loss': '0.004849', 'grad_norm': '0.006957', 'learning_rate': '1.977e-05', 'epoch': '1.168'}
{'loss': '0.01095', 'grad_norm': '0.004363', 'learning_rate': '1.977e-05', 'epoch': '1.174'}
{'loss': '0.001664', 'grad_norm': '0.004474', 'learning_rate': '1.976e-05', 'epoch': '1.18'}
{'loss': '0.007295', 'grad_norm': '0.004278', 'learning_rate': '1.976e-05', 'epoch': '1.186'}
{'loss': '0.01693', 'grad_norm': '0.007033', 'learning_rate': '1.976e-05', 'epoch': '1.192'}
{'loss': '0.03256', 'grad_norm': '0.004078', 'learning_rate': '1.976e-05', 'epoch': '1.198'}
{'loss': '0.04781', 'grad_norm': '0.4092', 'learning_rate': '1.976e-05', 'epoch': '1.204'}
{'loss': '0.004004', 'grad_norm': '0.5465', 'learning_rate': '1.976e-05', 'epoch': '1.21'}
{'loss': '0.02654', 'grad_norm': '0.009573', 'learning_rate': '1.976e-05', 'epoch': '1.217'}
{'loss': '0.007177', 'grad_norm': '0.01331', 'learning_rate': '1.976e-05', 'epoch': '1.223'}
{'loss': '0.02618', 'grad_norm': '95.38', 'learning_rate': '1.975e-05', 'epoch': '1.229'}
{'loss': '0.01764', 'grad_norm': '0.006788', 'learning_rate': '1.975e-05', 'epoch': '1.235'}
{'loss': '0.03707', 'grad_norm': '61.17', 'learning_rate': '1.975e-05', 'epoch': '1.241'}
{'loss': '0.0006373', 'grad_norm': '0.347', 'learning_rate': '1.975e-05', 'epoch': '1.247'}
{'loss': '0.03784', 'grad_norm': '0.04013', 'learning_rate': '1.975e-05', 'epoch': '1.253'}
{'loss': '0.003778', 'grad_norm': '4.401', 'learning_rate': '1.975e-05', 'epoch': '1.259'}
{'loss': '0.01203', 'grad_norm': '21.48', 'learning_rate': '1.975e-05', 'epoch': '1.265'}
{'loss': '0.04349', 'grad_norm': '5.329', 'learning_rate': '1.975e-05', 'epoch': '1.271'}
{'loss': '0.0106', 'grad_norm': '0.04418', 'learning_rate': '1.974e-05', 'epoch': '1.277'}
{'loss': '0.01724', 'grad_norm': '0.03408', 'learning_rate': '1.974e-05', 'epoch': '1.283'}
{'loss': '0.02338', 'grad_norm': '0.008054', 'learning_rate': '1.974e-05', 'epoch': '1.29'}
{'loss': '0.02238', 'grad_norm': '0.005986', 'learning_rate': '1.974e-05', 'epoch': '1.296'}
{'loss': '0.001454', 'grad_norm': '0.008328', 'learning_rate': '1.974e-05', 'epoch': '1.302'}
{'loss': '0.002407', 'grad_norm': '0.08591', 'learning_rate': '1.974e-05', 'epoch': '1.308'}
{'loss': '0.002298', 'grad_norm': '0.1156', 'learning_rate': '1.974e-05', 'epoch': '1.314'}
{'loss': '0.01202', 'grad_norm': '0.004274', 'learning_rate': '1.974e-05', 'epoch': '1.32'}
{'loss': '0.02757', 'grad_norm': '0.003754', 'learning_rate': '1.973e-05', 'epoch': '1.326'}
{'loss': '0.00227', 'grad_norm': '0.004286', 'learning_rate': '1.973e-05', 'epoch': '1.332'}
{'loss': '0.01782', 'grad_norm': '70.95', 'learning_rate': '1.973e-05', 'epoch': '1.338'}
{'loss': '0.06867', 'grad_norm': '11.51', 'learning_rate': '1.973e-05', 'epoch': '1.344'}
{'loss': '0.03511', 'grad_norm': '0.02162', 'learning_rate': '1.973e-05', 'epoch': '1.35'}
{'loss': '0.04796', 'grad_norm': '0.2151', 'learning_rate': '1.973e-05', 'epoch': '1.356'}
{'loss': '0.0002826', 'grad_norm': '0.00542', 'learning_rate': '1.973e-05', 'epoch': '1.363'}
{'loss': '0.03578', 'grad_norm': '0.006947', 'learning_rate': '1.973e-05', 'epoch': '1.369'}
{'loss': '0.002961', 'grad_norm': '5.423', 'learning_rate': '1.973e-05', 'epoch': '1.375'}
{'loss': '0.03977', 'grad_norm': '14.16', 'learning_rate': '1.972e-05', 'epoch': '1.381'}
{'loss': '0.04493', 'grad_norm': '0.202', 'learning_rate': '1.972e-05', 'epoch': '1.387'}
{'loss': '0.01207', 'grad_norm': '0.3916', 'learning_rate': '1.972e-05', 'epoch': '1.393'}
{'loss': '0.001622', 'grad_norm': '0.007289', 'learning_rate': '1.972e-05', 'epoch': '1.399'}
{'loss': '0.004688', 'grad_norm': '0.006123', 'learning_rate': '1.972e-05', 'epoch': '1.405'}
{'loss': '0.009778', 'grad_norm': '0.3047', 'learning_rate': '1.972e-05', 'epoch': '1.411'}
{'loss': '0.001875', 'grad_norm': '0.004582', 'learning_rate': '1.972e-05', 'epoch': '1.417'}
{'loss': '0.0001979', 'grad_norm': '0.02378', 'learning_rate': '1.972e-05', 'epoch': '1.423'}
